[1]{'Version'}[1]{'ContractItem'}[1]{'CancellationStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'CustomerContractLifeCycleStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'Description'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'InternalID'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'ProductCategory'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'ProductDescription'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'SupportEndDate'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'SupportStartDate'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'ValidityStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'ContractItem'}[1]{'ConcurrentSessions'}[1]{'Content'},[1]{'Version'}[1]{'Description'}[1]{'Content'},[1]{'Version'}[1]{'EndDateTime'}[1]{'Content'},[1]{'Version'}[1]{'StartDateTime'}[1]{'Content'},[1]{'Version'}[1]{'ItemCount'}[1]{'Content'},[1]{'Version'}[1]{'ItemListCancellationStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'ItemListCustomerContractLifeCycleStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'ItemListValidityStatusCode'}[1]{'Content'},[1]{'Version'}[1]{'SAPInternalID'}[1]{'Content'},contract_label,customer_earliest_start,customer_latest_end,customer_label,SLA,ProductCategory,service_level_regex,otrs_version,system_type,feature_add_ons,cancellation_date,customer_country,concat_volume,concat_currency,cancellation_date_orca,xml_key,[1]{'Version'}[1]{'EndCustomerID'}[1]{'Content'},[1]{'Version'}[1]{'OTRSSystemID'}[1]{'Content'}
Not Canceled,In Process,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,12/6/23 23:00,12/6/22 23:00,Active,50,OTRS GOLD,12/6/23 23:00,12/6/22 23:00,1,Not Canceled,In Process,Active,C4587,active,9/18/14 0:00,12/6/23 23:59,active,GOLD,SaaS,Gold,7.0.48,managed,"['SaaSPortalConnector', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldDatabase', 'OTRSSystemConfigurationHistory', 'OTRSTicketWorkflow', 'SaaSUX3Base']",No data,GERMANY,"17.495,00",Euro,No data,8036,CFHbGks3,10722
Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,12/11/23 23:00,12/11/22 23:00,Active,300,OTRS On-Premise PLATINUM,12/11/23 23:00,12/11/22 23:00,1,Not Canceled,In Process,Active,39,active,5/1/17 0:00,5/14/24 22:00,active,PLATINUM,On-Premise,Platinum,7.0.23,auto,"['GeneralCatalog', 'OTRSSystemConfigurationHistory', 'OTRSServiceCategories', 'OTRSMasterSlave', 'OTRSHideShowDynamicFields', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSDashboardNewsWidget', 'OTRSCICustomSearch', 'OTRSCacheMemcachedFast', 'ITSMIncidentProblemManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ITSMChangeManagement', 'ImportExport', 'OTRSTicketInvoker', 'OTRSTicketWorkflow']",No data,SPAIN,"37.800,00",Euro,No data,191,laVvIOXe,16372
Not Canceled,In Process,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,12/31/23 23:00,12/31/22 23:00,Active,50,OTRS On-Premise GOLD,12/31/23 23:00,12/31/18 23:00,1,Not Canceled,In Process,Active,C2058,active,4/25/11 0:00,12/31/23 23:59,active,GOLD,On-Premise,Gold,7.0.22,auto,"['OTRSHideShowDynamicFields', 'OTRSEscalationSuspend', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSCustomerSpecificServices', 'OTRSCIReferences', 'OTRSCICustomSearch', 'ITSMIncidentProblemManagement', 'ITSMServiceLevelManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'OTRSReady2AdoptProcesses', 'OTRSCalendarResourcePlanning', 'OTRSSystemConfigurationHistory']",5/16/17 8:38,GERMANY,"5.995,00",Euro,No data,480,Yc6VmmVi,16001
Not Canceled,In Process,OTRS On-Premise GOLD (Testsystem),10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,12/31/23 23:00,12/31/22 23:00,Active,50,OTRS On-Premise GOLD,12/31/23 23:00,12/31/18 23:00,1,Not Canceled,In Process,Active,C2059,active,4/25/11 0:00,12/31/23 23:59,active,GOLD,On-Premise,Gold,7.0.12,auto,"['GeneralCatalog', 'OTRSSystemConfigurationHistory', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceCategories', 'OTRSQueueResponsible', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSReady2AdoptProcesses', 'OTRSAdvancedEscalations', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'OTRSCustomerSpecificServices', 'AkquinetTicketSearchCustomerID', 'AkquinetAdminCustomerIDGroup', 'AkquinetAssetSearch', 'AkquinetQueueView', 'AkquinetTemplateSort', 'AkquinetTicketCustomerIDPermission', 'OTRSTicketInvoker']",5/16/17 8:38,GERMANY,"5.995,00",Euro,No data,7936,Yc6VmmVi,15572
Not Canceled,In Process,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,12/31/23 23:00,12/31/22 23:00,Active,10,OTRS On-Premise SILVER,12/31/23 23:00,12/31/18 23:00,1,Not Canceled,In Process,Active,C2060,active,4/25/11 0:00,12/31/23 23:59,active,SILVER,On-Premise,Silver,7.0.12,auto,"['OTRSAdvancedEscalations', 'AkquinetAssetSearch', 'AkquinetQueueView', 'OTRSStatePreselectionResponseTemplates', 'OTRSReady2AdoptProcesses', 'OTRSDynamicFieldWebService', 'OTRSCustomerSpecificServices', 'OTRSServiceCategories', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'GeneralCatalog', 'AkquinetTemplateSort', 'OTRSQueueResponsible', 'AkquinetTicketSearchCustomerID', 'AkquinetTicketCustomerIDPermission', 'AkquinetAdminCustomerIDGroup', 'OTRSDynamicFieldDatabase', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",5/16/17 8:38,GERMANY,"3.995,00",Euro,No data,8820,Yc6VmmVi,19276
Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,12/31/23 23:00,12/31/22 23:00,Active,300,OTRS On-Premise PLATINUM,12/31/23 23:00,12/31/18 23:00,1,Not Canceled,In Process,Active,C2057,active,4/25/11 0:00,12/31/23 23:59,active,PLATINUM,On-Premise,Platinum,7.0.12,auto,"['OTRSSystemConfigurationHistory', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceCategories', 'OTRSReady2AdoptProcesses', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSCustomerSpecificServices', 'OTRSAdvancedEscalations', 'ITSMCore', 'ITSMIncidentProblemManagement', 'GeneralCatalog', 'AkquinetTemplateSort', 'AkquinetQueueView', 'AkquinetAssetSearch', 'ITSMServiceLevelManagement', 'OTRSQueueResponsible', 'AkquinetAdminCustomerIDGroup', 'AkquinetTicketCustomerIDPermission', 'AkquinetTicketSearchCustomerID', 'OTRSTicketInvoker']",5/16/17 8:38,GERMANY,"29.995,00",Euro,No data,5539,Yc6VmmVi,13579
Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,12/31/23 23:00,12/31/22 23:00,Active,450,OTRS On-Premise PLATINUM,12/31/23 23:00,12/31/22 23:00,1,Not Canceled,In Process,Active,45,active,11/30/16 23:00,11/30/24 23:00,active,PLATINUM,On-Premise,Platinum,5.0.27,auto,"['EurofinsCIAttributeEnhancement', 'OTRSMasterSlave', 'OTRSITSMConfigItemReference', 'OTRSHideShowDynamicFields', 'OTRSGenericInterfaceLinkMechanism', 'OTRSDynamicFieldConfigItem', 'OTRSDynamicFieldAttachment', 'OTRSCustomerUserVIP', 'Survey', 'OTRSBusiness', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'FAQ', 'EurofinsTicketNotifications', 'EurofinsSurveyEnhancement', 'ITSMIncidentProblemManagement', 'SystemMonitoring']",11/24/23 10:33,LUXEMBOURG,"61.995,00",Euro,No data,1956,mqjWB4qI,17696
Not Canceled,In Process,OTRS Business Solution™ BASIC,20,Contracts On-Premise Old,"OTRS Business Solution, BASIC",1/25/24 23:00,1/25/23 23:00,Active,10,OTRS Business Solution‚ BASIC,1/25/24 23:00,1/25/17 23:00,2,Not Canceled,In Process,Active,C1541,active,4/7/11 0:00,11/2/24 23:00,active,SILVER,On-Premise,Silver,5.0.27,auto,"['FAQ', 'GeneralCatalog', 'ITSM', 'ITSMConfigurationManagement', 'ITSMCore', 'ITSMIncidentProblemManagement', 'OTRSMasterSlave', 'Survey', 'SystemMonitoring', 'TimeAccounting', 'ImportExport', 'ITSMChangeManagement', 'ITSMServiceLevelManagement', 'OTRSBusiness', 'OTRSCustomerUserVIP']",No data,UNITED STATES OF AMERICA,"3.995,00",US-Dollar,No data,7710,mOe3DnlE,15331
Not Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,1/25/23 23:00,1/25/22 23:00,Expired,25,OTRS On-Premise GOLD,1/25/24 23:00,1/25/22 23:00,2,Not Canceled,In Process,Active,C4017,active,1/25/22 23:00,1/25/24 23:59,active,GOLD,On-Premise,Gold,8.0.27,auto,"['OTRSCIsInCustomerFrontend', 'OTRSConfigurationManagement', 'OTRSDynamicFieldCI', 'OTRSDynamicFieldDatabase', 'OTRSDynamicSenderAddresses', 'OTRSEscalationSuspend', 'OTRSHideShowDynamicFields', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",No data,GERMANY,"14.995,00",Euro,No data,8238,1ybA3NXK,15270
Not Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,1/25/23 23:00,1/25/22 23:00,Expired,10,OTRS On-Premise SILVER,1/25/24 23:00,1/25/22 23:00,2,Not Canceled,In Process,Active,C4071,active,1/25/22 23:00,1/25/24 23:59,active,SILVER,On-Premise,Silver,8.0.27,auto,"['OTRSCIsInCustomerFrontend', 'OTRSConfigurationManagement', 'OTRSDynamicFieldCI', 'OTRSDynamicFieldDatabase', 'OTRSDynamicSenderAddresses', 'OTRSEscalationSuspend', 'OTRSHideShowDynamicFields', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",No data,GERMANY,"3.995,00",Euro,No data,8414,1ybA3NXK,12482
Not Canceled,In Process,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,1/29/24 23:00,1/29/23 23:00,Active,50,OTRS GOLD,1/29/24 23:00,1/29/23 23:00,1,Not Canceled,In Process,Active,137,active,7/30/20 0:00,1/29/24 23:59,active,GOLD,SaaS,Gold,2023.1.1,managed,"['SaaSUX3Base', 'OTRSAutomation', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldCalculation', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldWebService', 'OTRSHideShowDynamicFields', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker', 'SaaSPortalConnector', 'SystemMonitoring']",No data,GERMANY,"17.495,00",Euro,No data,9948,QB7EGIxF,19202
Not Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,1/31/23 23:00,1/31/22 23:00,Expired,10,OTRS On-Premise SILVER,1/31/24 23:00,1/31/21 23:00,2,Not Canceled,In Process,Active,C3270,active,3/6/18 0:00,2/29/24 23:00,active,SILVER,On-Premise,Silver,8.0.16,auto,"['OTRSConfigurationManagement', 'OTRSDynamicFieldAttachment', 'OTRSDynamicFieldDatabase', 'OTRSTicketForms', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSDynamicFieldWebService', 'OTRSCalendarResourcePlanning', 'OTRSAdvancedGenericAgent', 'Survey']",No data,SWITZERLAND,"2.995,00",Euro,No data,9426,Q72D2pYI,18609
Not Canceled,In Process,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2/4/24 23:00,2/4/23 23:00,Active,50,OTRS On-Premise GOLD,2/4/24 23:00,2/4/23 23:00,1,Not Canceled,In Process,Active,265,active,2/5/19 0:00,9/16/24 22:00,active,GOLD,On-Premise,Gold,8.0.37,auto,"['OTRSTicketWatchlist', 'OTRSCalendarResourcePlanning', 'OTRSConfigurationManagement', 'OTRSDynamicFieldDatabase', 'OTRSReady2AdoptITSMProcesses', 'OTRSReady2AdoptProcesses', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'SystemMonitoring']",No data,UNITED STATES OF AMERICA,"7.195,00",US-Dollar,No data,8020,PwEM6THQ,18033
Not Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2/6/23 23:00,2/6/22 23:00,Expired,50,OTRS On-Premise GOLD,2/6/24 23:00,2/6/19 23:00,2,Not Canceled,In Process,Active,C2026,active,2/7/17 0:00,2/6/24 23:00,active,GOLD,On-Premise,Gold,8.0.37,auto,"['OTRSStatePreselectionResponseTemplates', 'OTRSServiceManagement', 'OTRSReady2AdoptProcesses', 'OTRSReady2AdoptITSMProcesses', 'OTRSPrimarySecondary', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldWebService', 'OTRSDeleteAttachments', 'OTRSConfigurationManagement', 'OTRSCalendarResourcePlanning', 'OTRSSystemConfigurationHistory', 'OTRSEscalationSuspend', 'SystemMonitoring']",No data,GERMANY,"9.995,00",Euro,No data,6681,8W5YUmWL,11762
Not Canceled,In Process,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2/7/24 23:00,2/7/23 23:00,Active,50,OTRS GOLD,2/7/24 23:00,2/7/23 23:00,1,Not Canceled,In Process,Active,156,active,2/7/21 23:00,2/7/24 23:59,active,GOLD,SaaS,Gold,2023.1.1,managed,"['OTRSSystemConfigurationHistory', 'OTRSServiceManagement', 'OTRSTicketWatchlist', 'OTRSHideShowDynamicFields', 'SaaSPortalConnector', 'OTRSConfigurationManagement', 'OTRSCalendarResourcePlanning', 'OTRSAutomation', 'OTRSAdvancedGenericAgent', 'OTRSDynamicFieldDatabase', 'SaaSUX3Base']",No data,SWITZERLAND,"17.495,00",Euro,No data,1142,HF0ypcfd,14175
